Organisation,total_missions,successful_missions,success_rate,normalized_success_rate,normalized_volume,mars_score
RVSN USSR,1777,1614,90.8272369161508,0.908272369161508,1.0,0.9357906584130555
Arianespace,279,269,96.415770609319,0.96415770609319,0.1570061902082161,0.7220122513276978
ULA,140,139,99.28571428571428,0.9928571428571428,0.07878446820483961,0.7186353404614518
Blue Origin,12,12,100.0,1.0,0.006752954417557681,0.7020258863252673
Boeing,136,131,96.32352941176472,0.9632352941176472,0.07653348339898705,0.697224750902049
ILS,46,45,97.82608695652172,0.9782608695652172,0.025886325267304444,0.6925485062758433
VKS RF,201,188,93.53233830845772,0.9353233830845773,0.11311198649409117,0.6886599641074314
CASC,251,231,92.03187250996017,0.9203187250996017,0.14124929656724816,0.6865978965398956
MHI,84,80,95.23809523809524,0.9523809523809524,0.04727068092290377,0.6808478709435377
NASA,203,186,91.6256157635468,0.9162561576354681,0.11423747889701745,0.6756505540139329
SpaceX,100,94,94.0,0.94,0.056274620146314014,0.6748823860438942
Kosmotras,22,21,95.45454545454544,0.9545454545454544,0.012380416432189083,0.6718959431114747
Lockheed,79,74,93.67088607594935,0.9367088607594936,0.04445694991558807,0.6690332875063218
Roscosmos,55,51,92.72727272727272,0.9272727272727272,0.030951041080472707,0.6583762214150508
Eurockot,13,12,92.3076923076923,0.923076923076923,0.007315700619020821,0.6483485563395524
Sea Launch,36,33,91.66666666666666,0.9166666666666665,0.020258863252673044,0.6477443256424684
Northrop,83,74,89.1566265060241,0.891566265060241,0.04670793472144063,0.6381087659586008
Martin Marietta,114,100,87.71929824561403,0.8771929824561403,0.06415306696679797,0.6332810078093375
ExPace,10,9,90.0,0.9,0.005627462014631401,0.6316882386043894
ISAS,30,26,86.66666666666667,0.8666666666666667,0.016882386043894203,0.6117313824798349
General Dynamics,251,203,80.87649402390437,0.8087649402390437,0.14124929656724816,0.608510247137505
Rocket Lab,13,11,84.61538461538461,0.8461538461538461,0.007315700619020821,0.5945024024933986
ISRO,76,63,82.89473684210526,0.8289473684210527,0.04276871131119865,0.5930937712880964
US Air Force,161,129,80.12422360248446,0.8012422360248447,0.09060213843556555,0.588050206748061
IAI,11,9,81.81818181818183,0.8181818181818182,0.0061902082160945416,0.5745843351921011
ESA,13,9,69.23076923076923,0.6923076923076923,0.007315700619020821,0.48681009480109083
ISA,13,4,30.76923076923077,0.3076923076923077,0.007315700619020821,0.21757932557032164
US Navy,17,2,11.76470588235294,0.1176470588235294,0.009566685424873381,0.08522294680393258
