Organisation,total_missions,successful_missions,success_rate
Blue Origin,12,12,100.0
ULA,140,139,99.28571428571429
ILS,46,45,97.82608695652173
Arianespace,279,269,96.415770609319
Boeing,136,131,96.32352941176471
Kosmotras,22,21,95.45454545454545
MHI,84,80,95.23809523809523
SpaceX,100,94,94.0
Lockheed,79,74,93.67088607594937
VKS RF,201,188,93.53233830845771
Roscosmos,55,51,92.72727272727272
Eurockot,13,12,92.3076923076923
CASC,251,231,92.03187250996015
Sea Launch,36,33,91.66666666666666
NASA,203,186,91.62561576354679
RVSN USSR,1777,1614,90.82723691615081
ExPace,10,9,90.0
Northrop,83,74,89.1566265060241
Martin Marietta,114,100,87.71929824561403
ISAS,30,26,86.66666666666667
Rocket Lab,13,11,84.61538461538461
ISRO,76,63,82.89473684210526
IAI,11,9,81.81818181818183
General Dynamics,251,203,80.87649402390437
US Air Force,161,129,80.12422360248446
ESA,13,9,69.23076923076923
ISA,13,4,30.76923076923077
US Navy,17,2,11.76470588235294
